track_id,track_name,artist_name,album_name,release_date,popularity
3kApu1M5m4ed2vEcdReuJT,In Full Throttle,From Japan,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
5uzg6Z1vxiWaoxLmVsjRnQ,da da,xiexie,XIEXIE,2021-02-19,23
6DcShY1wBWeXCOxidvfDFM,Autumn in a Village,Minoru Kainuma,Japanese Popular Songs,1997-09-30,1
61AA6oAk9gjIHaTRxZfi4j,plastic smile,Perfume,GAME,2008,20
11EyfrDBeWK9akqYmJFbtv,Machiboke (Waiting in Vain): Being Kept Waiting in Vain,Kosaku Yamada,Japanese Popular Songs,1997-09-30,1
6Si3ppdntTNAEaBUokB4Yv,Flow,Perfume,PLASMA,2022-07-27,32
4wfaWCqHCwYwxKgYQVRIp2,Rain in Johga-Sima,Sada Yanada,Japanese Popular Songs,1997-09-30,0
55HzAX2f4rVNpJ0XzyNHkP,Flow,Perfume,Flow,2022-03-09,29
2tSGcKm6PUBITEqXUdZXlp,An Outgoing Ship,Haseo Sugiyama,Japanese Popular Songs,1997-09-30,1
28WPVv3qFvP7YfSX8hSuEO,Time Warp,Perfume,Time Warp,2020-09-16,30
2AIcp9YeTC1BCwRimgVppu,"That Child, This Child",Kozaburo Hirai,Japanese Popular Songs,1997-09-30,2
4Eyrl29TD7ssLcAKWzwsso,ポリリズム,Perfume,"Perfume The Best ""P Cubed""",2019-09-18,41
56F0gFd29mAUQVHWIxv990,Akatonbo: Red Dragonfly (the Red Dragonfly),Kosaku Yamada,Japanese Popular Songs,1997-09-30,2
1MxeWEK1FeKxLrUzv1yqXT,NIGHT DANCER,imase,ウォーキングが楽しくなる洋楽ヒット,2023-02-01,21
4GwXQUzulZxPqOKKnfSjS2,Jpop Oto,Kim-Dog Jr.,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
4ODY6mZVk6piLmG0fQQtDR,The Opening,Perfume,JPN,2012-02-29,11
4E0OCBSiNVEDtwNO8htVdA,Being Scolded,Ryutaro Hirota,Japanese Popular Songs,1997-09-30,1
7Er8o6IEs8MAU1aH1yI9Uf,∞ループ,Perfume,PLASMA,2022-07-27,23
6ZRM8JOZW0H2FNFOSt3qL3,Matter Of Time - Coyu remix,The Japanese Popstars,Vision,2014-02-10,3
3OMCMo6ILPT8aF0rMcuKHr,idol fancy,CAPSULE,phony phonic,2003-11-09,16
1jDesvJAQDkcBCcj1l3ri8,Joshua,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,4
7szTSXwtnZVz9lAevfsSSp,Enter the Sphere,Perfume,LEVEL3,2013-10-16,22
2paJWc5079wQadWyF2Yxj1,Shells Of Silver - Superstringz Remix,The Japanese Popstars,Shells Of Silver,2011-01-01,4
3IWzOSGCf57fH8By18bp55,ポリリズム,Perfume,ポリリズム,2007,16
7rqv6tj6vJ5ld2szh5bbbj,Shells Of Silver - White Sea Remix,The Japanese Popstars,Shells Of Silver,2011-01-01,1
0VAlLENdlJZVA3CUIhyKJF,Routine Life,Yuinishio,Weekday,2024-03-06,23
5LejtqF2xMxQtopZGIUa1o,Catapult,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,2
1cg8zUAvJ5okZ2lbLXkXLE,Zero Gravity,Perfume,トライアングル,2009,16
0tAs0Y8xG1ANbdQN7KM4hw,Without Sound,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,1
30mzdANJ2WupwdcqbY1hqy,23:30,Perfume,ワンルーム・ディスコ,2009-03-25,13
3SEaUxCl6sTUcKsUsNbNHQ,Face Melter,The Japanese Popstars,We Just Are,2008-09-09,2
5jMnAGIF26bzAcKf2OeUQM,ハテナビト,Perfume,PLASMA,2022-07-27,31
0q5w313g56hrg4zDWyCuvv,Rise of Ulysees,The Japanese Popstars,We Just Are,2008-09-09,3
6NpfAWrIs39a15xlDwHKEK,Speed of Sound,Perfume,トライアングル,2009,16
71lTuOG3qCECkFqd9REDmG,Heavy Hitter,The Japanese Popstars,Vision,2014-02-10,0
6Q4XskmtfgZ5jEifd3Q2Oz,Butterfly,Perfume,GAME,2008,16
5W9zgREmaZSAfRi6OpbUx1,Shells Of Silver - Matador Remix,The Japanese Popstars,Shells Of Silver,2011-01-01,0
7x3bkoflqXaJoVPmqXOPYr,Spending all my time,Perfume,Spending all my time,2012-08-15,11
4zMfdGi2CmGdQHwzL3e7nw,Pump Power - Marino Canal remix,The Japanese Popstars,Pump Power,2013-09-23,1
396RicrQNol7GhMCIfC6Cv,Spinning World,Perfume,Spinning World,2022-07-15,23
5ml7CLShk44tnN0bLd5TxL,Matter Of Time - OC & Verde remix,The Japanese Popstars,Matter Of Time,2020-08-27,0
