track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
15JkXBaaE9dUwylcKCQxlR,Shells Of Silver,0.35,0.735,0.0,-7.146,1.0,0.173,0.173,0.000689,0.61,0.261,99.972
171TB5BXHExQGVxtDSosd2,ビタミンドロップ,0.472,0.975,10.0,-0.225,1.0,0.0404,0.00376,0.00176,0.0485,0.934,154.931
2ui4fOKIGzQXU5UJG8uKGa,Destroy,0.528,0.799,1.0,-3.739,0.0,0.0386,0.0382,0.288,0.135,0.0718,165.048
1N5G5hBH6ASbWZs0fGwdIV,JAPANESE WOMAN,0.806,0.657,11.0,-8.351,0.0,0.0315,0.286,0.0178,0.0911,0.785,102.475
3j6ReDwmtb1cUAMoihdLc0,Joshua - Original Club Instrumental,0.502,0.787,0.0,-9.44,1.0,0.0312,7.82e-05,0.46,0.141,0.14,127.008
1pDGdfoaFjaFaGAtq1z595,ハナミズキ,0.494,0.45,4.0,-5.473,1.0,0.0287,0.449,0.0,0.343,0.297,139.702
4HIrp1rMzr95X0Xw4Ljgft,Take Forever,0.499,0.836,5.0,-5.424,1.0,0.0416,0.00981,0.723,0.096,0.188,115.051
6zTxT0lmklEOfH8TtNLd1a,City Pop,0.62,0.74,9.0,-8.753,1.0,0.0522,0.0271,0.0776,0.158,0.925,174.949
3C0yxTDnKHA1BV5ZXy5e49,Blue Tongue,0.674,0.955,7.0,-7.923,1.0,0.0884,0.00365,0.858,0.0547,0.572,124.982
10ej4fERhZetpREUAbxUFb,10C,0.57,0.645,3.0,-10.349,1.0,0.0398,0.121,0.0133,0.178,0.776,160.003
3Wt0F41P9eevGDvBSIIqhE,ASAP - Japanese Ver.,0.75,0.762,0.0,-5.436,1.0,0.0321,0.119,0.0,0.176,0.314,131.997
6lQqbkiYCZtr5HdD7eWdTA,東京LOVER,0.726,0.58,8.0,-7.48,1.0,0.0345,0.707,0.00689,0.153,0.757,122.497
2cqryvZw7qDF8UynRBNS6Q,Never Gonna Give You Up (Japanese Version),0.624,0.618,11.0,-10.531,1.0,0.0265,0.169,0.0,0.292,0.873,107.969
4I96Nm6WvJgFXqnl5vQFjY,Peace - The Japanese Popstars Remix,0.64,0.577,10.0,-7.93,1.0,0.0865,0.0083,0.0285,0.0976,0.0483,130.041
6Ujff0V1HPkvD6QxLHctff,ポリゴンウェイヴ,0.616,0.927,6.0,-1.946,1.0,0.0317,0.00608,0.000591,0.32,0.924,128.025
3e5ahs9BMdaz1I6MTrGMOV,Japanese-Pop-Music - retake ver.,0.473,0.958,5.0,-1.255,0.0,0.191,0.00788,6.24e-05,0.0721,0.436,139.902
1gY6DwODrCnoiezXDKgyE5,ポリゴンウェイヴ - Original Mix,0.625,0.913,6.0,-2.426,1.0,0.0297,0.00856,0.00159,0.323,0.827,128.015
