track_id,track_name,artist_name,album_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
52uOkVWm27R6V1eh8naDC1,Dried Gourd Shavings,Fumihiko Fukui,Japanese Popular Songs,1997-09-30,0,0.449,0.211,0.0,-14.684,1.0,0.0716,0.99,0.0546,0.103,0.175,138.954
4xOXlqUgehg1zyWhmFswQK,Memories,NiziU,Memories,2024-02-06,50,0.772,0.879,6.0,-2.814,0.0,0.113,0.205,2.02e-05,0.285,0.917,117.0
4775TJb5xEsTLR8kGYSKNw,KAWANO NAGARENO YOUNI,Yasukazu Kano,JAPANESE POP STANDARDS with shinobue and piano,2021-11-03,1,0.161,0.0774,5.0,-17.362,1.0,0.0379,0.987,0.773,0.0878,0.145,67.758
1MmiYaCIvog6akmLaTg76P,GAME,Perfume,GAME,2008,20,0.5,0.955,0.0,-1.639,1.0,0.0327,2.6e-05,0.124,0.117,0.47,135.021
7gQa1tt7efA4gdhU5FuPxS,Dial 2,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,2,0.757,0.764,6.0,-12.1,0.0,0.651,0.955,0.018,0.762,0.426,120.114
6Jf6l54ftlk6rvk14v0kma,The Light,Perfume,The Light,2024-05-24,32,0.738,0.882,4.0,-5.098,1.0,0.0435,0.0181,0.000223,0.119,0.701,130.036
27OPlS2GWqVDhCQjNjyG3J,Plover,Ryutaro Hirota,Japanese Popular Songs,1997-09-30,0,0.274,0.0785,3.0,-20.398,1.0,0.0438,0.995,0.00211,0.127,0.0669,106.794
2wPSiRWMFFeL1FC4MJ3Qxf,POP SONG,Kenshi Yonezu,M八七,2022-05-18,35,0.762,0.792,11.0,-6.443,0.0,0.134,0.22,1.74e-05,0.939,0.806,109.968
260NhUbJUTQO6zI0pGqQIa,Kojo no tsuki (Moon at a desolate castle) [text by B. Tsuchii]: The Moon Over a Ruined Castle,Rentaro Taki,Japanese Popular Songs,1997-09-30,2,0.324,0.0386,0.0,-22.972,0.0,0.0459,0.994,0.156,0.0933,0.0766,61.605
6NkIytZwFeUreuosblTrcI,IGGY POP FAN CLUB,Number Girl,OMOIDE IN MY HEAD 1 ~BEST & B-SIDES~,2005-03-02,26,0.368,0.859,4.0,-6.163,1.0,0.11,0.00176,0.144,0.29,0.655,127.044
4y5AEnGBaDIJhNLdwkZGTq,Blood In the Ballroom,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,0,0.537,0.904,10.0,-9.126,0.0,0.0366,0.00159,0.857,0.0436,0.202,114.956
6nUsvSdZZeqMKlRHFCC34I,ポイント,Perfume,LEVEL3,2013-10-16,23,0.449,0.883,6.0,-3.923,1.0,0.041,0.00139,0.0634,0.148,0.675,175.007
0N1xOyCkgYnEiKWA5JvekZ,Mother's Song,Kunihiko Hashimoto,Japanese Popular Songs,1997-09-30,1,0.288,0.069,0.0,-20.448,1.0,0.0599,0.995,0.00511,0.0765,0.123,83.823
0yIE2un7AXpV5W09XpvX9r,Plasma,Perfume,PLASMA,2022-07-27,24,0.436,0.765,6.0,-7.03,1.0,0.0334,0.0271,0.863,0.0887,0.136,170.1
2cVsY8bBljqKSCKAUdbcwQ,Suzhou Nocturne,服部良一,Japanese Popular Songs,1997-09-30,1,0.36,0.0437,10.0,-23.043,1.0,0.044,0.995,0.00132,0.121,0.111,65.854
6HPIILGgNy0a4zGnMdmBgv,ポリゴンウェイヴ - Original Mix,Perfume,ポリゴンウェイヴ EP,2021-09-22,29,0.625,0.91,6.0,-2.435,1.0,0.0298,0.00995,0.000692,0.327,0.787,128.012
0QexojO6FdpFC1ZEuBDw1g,Breaking Breakfast,Cheating Good,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1,0.779,0.422,2.0,-12.951,0.0,0.0488,0.00289,0.817,0.158,0.504,144.018
5yq8JkSClLJVdfy4ZMUAmB,TOKYO GIRL,Perfume,TOKYO GIRL,2017-02-15,42,0.728,0.912,2.0,-3.074,1.0,0.0331,0.282,0.385,0.0807,0.678,127.973
4Wnhxre1nYm7ZgOArG5EUC,Ghost in the House,Lo Fi Hip Hop,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1,0.693,0.4,8.0,-12.793,1.0,0.0346,0.0495,0.917,0.187,0.352,138.829
2W8JpBzB3rVus7hAdkQ4rx,ピリオド,imase,ピリオド,2023-03-17,34,0.647,0.845,11.0,-5.259,0.0,0.0496,0.103,3.66e-06,0.217,0.719,132.992
4NxAa8UcBVqvxrGLjYC1Yb,Nonchalance Kimochi,Serpent's Eye,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1,0.626,0.426,1.0,-13.838,1.0,0.0816,0.00105,0.629,0.159,0.317,76.005
0EwlXphe0uRmf87emS99LT,Komoriuta (Lullaby): Lullaby,Ikuma Dan,Japanese Popular Songs,1997-09-30,1,0.383,0.0403,5.0,-23.296,1.0,0.0543,0.994,6.78e-05,0.0776,0.147,132.427
